Repeat,VAR2,Point,SMU1 Voltage,SMU1 Current,SMU1 Time
1,1,1,-400.00000E-009,914.00000E-012,36.60900E-003
1,1,2,3.12700E-003,-154.00000E-012,81.40600E-003
1,1,3,6.25420E-003,69.00000E-012,108.40000E-003
1,1,4,9.38090E-003,-1.54600E-009,150.72700E-003
1,1,5,12.50810E-003,-1.35100E-009,192.34000E-003
1,1,6,15.63470E-003,749.00000E-012,216.21400E-003
1,1,7,18.76210E-003,32.00000E-012,261.37600E-003
1,1,8,21.88910E-003,243.00000E-012,303.52200E-003
1,1,9,25.01650E-003,-85.00000E-012,327.41300E-003
1,1,10,28.14270E-003,-1.04700E-009,369.43800E-003
1,1,11,31.26980E-003,-1.84700E-009,411.48600E-003
1,1,12,34.39600E-003,-170.00000E-012,460.64000E-003
1,1,13,37.52320E-003,-185.00000E-012,502.27700E-003
1,1,14,40.64860E-003,-77.00000E-012,527.19200E-003
1,1,15,43.77670E-003,-1.30400E-009,590.14000E-003
1,1,16,46.90400E-003,-1.21700E-009,632.06600E-003
1,1,17,50.03100E-003,244.00000E-012,655.94300E-003
1,1,18,53.15810E-003,149.00000E-012,679.81000E-003
1,1,19,56.28500E-003,-550.00000E-012,721.36500E-003
1,1,20,59.41170E-003,-868.00000E-012,762.90100E-003
1,1,21,62.53900E-003,137.00000E-012,786.76500E-003
1,1,22,65.66590E-003,-492.00000E-012,829.91200E-003
1,1,23,68.79270E-003,-1.29500E-009,871.88400E-003
1,1,24,71.91980E-003,-589.00000E-012,913.38700E-003
1,1,25,75.04730E-003,43.00000E-012,937.26000E-003
1,1,26,78.17400E-003,1.15400E-009,981.67500E-003
1,1,27,81.30050E-003,-92.00000E-012,1.00560E+000
1,1,28,84.42790E-003,-637.00000E-012,1.04909E+000
1,1,29,87.55460E-003,-1.68400E-009,1.09091E+000
1,1,30,90.68190E-003,-541.00000E-012,1.15285E+000
1,1,31,93.80880E-003,151.00000E-012,1.17674E+000
1,1,32,96.93580E-003,-1.08500E-009,1.22043E+000
1,1,33,100.06280E-003,-653.00000E-012,1.26227E+000
1,1,34,103.18800E-003,51.00000E-012,1.28744E+000
1,1,35,106.31590E-003,-667.00000E-012,1.32918E+000
1,1,36,109.44280E-003,-1.27500E-009,1.37174E+000
1,1,37,112.56970E-003,-1.00000E-009,1.42027E+000
1,1,38,115.69670E-003,-1.20400E-009,1.46229E+000
1,1,39,118.82380E-003,4.00000E-012,1.48749E+000
1,1,40,121.95090E-003,-755.00000E-012,1.52919E+000
1,1,41,125.07770E-003,-1.51500E-009,1.57084E+000
1,1,42,128.20480E-003,-711.00000E-012,1.61257E+000
1,1,43,131.33190E-003,-199.00000E-012,1.63749E+000
1,1,44,134.45880E-003,-2.08500E-009,1.69979E+000
1,1,45,137.58590E-003,-199.00000E-012,1.74150E+000
1,1,46,140.71280E-003,85.00000E-012,1.76537E+000
1,1,47,143.83990E-003,-604.00000E-012,1.80904E+000
1,1,48,146.96680E-003,-906.00000E-012,1.85171E+000
1,1,49,150.09400E-003,41.00000E-012,1.90051E+000
1,1,50,153.22110E-003,-839.00000E-012,1.94232E+000
1,1,51,156.34900E-003,12.00000E-012,1.96721E+000
1,1,52,159.47470E-003,-592.00000E-012,2.00897E+000
1,1,53,162.60190E-003,-1.25500E-009,2.05147E+000
1,1,54,165.72900E-003,-52.00000E-012,2.10047E+000
1,1,55,168.85580E-003,618.00000E-012,2.14230E+000
1,1,56,171.98110E-003,-47.00000E-012,2.16746E+000
1,1,57,175.10860E-003,-579.00000E-012,2.20919E+000
1,1,58,178.23840E-003,19.00000E-012,2.24614E+000
1,1,59,181.36280E-003,-601.00000E-012,2.28890E+000
1,1,60,184.48970E-003,-1.44400E-009,2.33082E+000
1,1,61,187.61700E-003,-587.00000E-012,2.37285E+000
1,1,62,190.74400E-003,-714.00000E-012,2.39739E+000
1,1,63,193.87100E-003,-272.00000E-012,2.44081E+000
1,1,64,196.99780E-003,-62.00000E-012,2.48238E+000
1,1,65,200.12710E-003,-161.00000E-012,2.50625E+000
1,1,66,203.25190E-003,-540.00000E-012,2.54976E+000
1,1,67,206.37900E-003,-1.00000E-009,2.59165E+000
1,1,68,209.50590E-003,-408.00000E-012,2.63317E+000
1,1,69,212.62900E-003,1.36800E-009,2.65705E+000
1,1,70,215.76000E-003,787.00000E-012,2.70042E+000
1,1,71,218.89000E-003,715.00000E-012,2.74197E+000
1,1,72,222.00900E-003,-1.92800E-009,2.79063E+000
1,1,73,225.14000E-003,20.00000E-012,2.84048E+000
1,1,74,228.27000E-003,-1.11700E-009,2.88211E+000
1,1,75,231.39200E-003,13.00000E-012,2.90597E+000
1,1,76,234.52000E-003,-609.00000E-012,2.94938E+000
1,1,77,237.64900E-003,-2.15500E-009,2.99122E+000
1,1,78,240.78000E-003,-418.00000E-012,3.03276E+000
1,1,79,243.89900E-003,668.00000E-012,3.05670E+000
1,1,80,247.02900E-003,213.00000E-012,3.10142E+000
1,1,81,250.16000E-003,-11.00000E-012,3.12525E+000
1,1,82,253.28000E-003,-446.00000E-012,3.16883E+000
1,1,83,256.40900E-003,-1.86600E-009,3.21062E+000
1,1,84,259.54000E-003,-705.00000E-012,3.25228E+000
1,1,85,262.66000E-003,-603.00000E-012,3.31287E+000
1,1,86,265.79000E-003,-899.00000E-012,3.33675E+000
1,1,87,268.91900E-003,-430.00000E-012,3.38054E+000
1,1,88,272.05000E-003,-234.00000E-012,3.42213E+000
1,1,89,275.17000E-003,6.00000E-012,3.44602E+000
1,1,90,278.29900E-003,-539.00000E-012,3.48877E+000
1,1,91,281.42900E-003,-2.23000E-009,3.53132E+000
1,1,92,284.55000E-003,-264.00000E-012,3.58059E+000
1,1,93,287.68000E-003,-724.00000E-012,3.62229E+000
1,1,94,290.81000E-003,-191.00000E-012,3.64720E+000
1,1,95,293.93000E-003,-750.00000E-012,3.68893E+000
1,1,96,297.05900E-003,-1.98600E-009,3.73073E+000
1,1,97,300.19000E-003,-319.00000E-012,3.77260E+000
1,1,98,303.31000E-003,-504.00000E-012,3.84042E+000
1,1,99,306.44000E-003,-536.00000E-012,3.88883E+000
1,1,100,309.56900E-003,-2.09100E-009,3.93094E+000
1,1,101,312.70000E-003,-343.00000E-012,3.97264E+000
1,1,102,315.82000E-003,-181.00000E-012,3.99726E+000
1,1,103,318.94900E-003,495.00000E-012,4.04066E+000
1,1,104,322.08000E-003,-399.00000E-012,4.08228E+000
1,1,105,325.20000E-003,92.00000E-012,4.10724E+000
1,1,106,328.32900E-003,-638.00000E-012,4.14879E+000
1,1,107,331.46000E-003,-2.06600E-009,4.19071E+000
1,1,108,334.58000E-003,-350.00000E-012,4.23232E+000
1,1,109,337.71000E-003,465.00000E-012,4.25745E+000
1,1,110,340.84000E-003,386.00000E-012,4.30086E+000
1,1,111,343.96000E-003,322.00000E-012,4.34239E+000
1,1,112,347.08900E-003,80.00000E-012,4.38606E+000
1,1,113,350.22000E-003,-600.00000E-012,4.42895E+000
1,1,114,353.34900E-003,-2.16600E-009,4.47077E+000
1,1,115,356.47000E-003,-280.00000E-012,4.51257E+000
1,1,116,359.60000E-003,-466.00000E-012,4.53749E+000
1,1,117,362.73000E-003,-935.00000E-012,4.58019E+000
1,1,118,365.85000E-003,359.00000E-012,4.62237E+000
1,1,119,368.98000E-003,109.00000E-012,4.64626E+000
1,1,120,372.10900E-003,-605.00000E-012,4.68926E+000
1,1,121,375.23000E-003,-2.13600E-009,4.73081E+000
1,1,122,378.36000E-003,-385.00000E-012,4.77292E+000
1,1,123,381.48900E-003,55.00000E-012,4.79772E+000
1,1,124,384.62000E-003,243.00000E-012,4.84039E+000
1,1,125,387.74000E-003,-360.00000E-012,4.88207E+000
1,1,126,390.86900E-003,214.00000E-012,4.90594E+000
1,1,127,394.00000E-003,-1.51200E-009,4.95167E+000
1,1,128,397.12000E-003,322.00000E-012,4.97553E+000
1,1,129,400.25000E-003,-936.00000E-012,4.99939E+000
1,1,130,403.38000E-003,86.00000E-012,5.04094E+000
1,1,131,406.49900E-003,-87.00000E-012,5.08286E+000
1,1,132,409.63000E-003,83.00000E-012,5.10776E+000
1,1,133,412.75900E-003,-1.57600E-009,5.14966E+000
1,1,134,415.87900E-003,-1.49400E-009,5.19175E+000
1,1,135,419.01000E-003,-529.00000E-012,5.21567E+000
1,1,136,422.14000E-003,1.04400E-009,5.23953E+000
1,1,137,425.26900E-003,534.00000E-012,5.28106E+000
1,1,138,428.39100E-003,-38.00000E-012,5.30653E+000
1,1,139,431.52000E-003,-580.00000E-012,5.34859E+000
1,1,140,434.64900E-003,-1.98900E-009,5.39042E+000
1,1,141,437.77000E-003,-475.00000E-012,5.43233E+000
1,1,142,440.90000E-003,-187.00000E-012,5.45723E+000
1,1,143,444.03000E-003,44.00000E-012,5.50051E+000
1,1,144,447.15000E-003,-336.00000E-012,5.54212E+000
1,1,145,450.28200E-003,68.00000E-012,5.56598E+000
1,1,146,453.40900E-003,-611.00000E-012,5.60909E+000
1,1,147,456.53900E-003,-2.19100E-009,5.65095E+000
1,1,148,459.66000E-003,-414.00000E-012,5.69248E+000
1,1,149,462.79000E-003,335.00000E-012,5.71636E+000
1,1,150,465.92000E-003,552.00000E-012,5.76084E+000
1,1,151,469.03900E-003,-311.00000E-012,5.80297E+000
1,1,152,472.17000E-003,125.00000E-012,5.82685E+000
1,1,153,475.29900E-003,-798.00000E-012,5.86890E+000
1,1,154,478.41900E-003,-1.39900E-009,5.91170E+000
1,1,155,481.55000E-003,-276.00000E-012,5.93558E+000
1,1,156,484.68000E-003,-484.00000E-012,5.97989E+000
1,1,157,487.80000E-003,-606.00000E-012,6.02154E+000
1,1,158,490.93200E-003,8.00000E-012,6.04541E+000
1,1,159,494.05900E-003,-744.00000E-012,6.08873E+000
1,1,160,497.19000E-003,-1.22300E-009,6.13170E+000
1,1,161,500.31000E-003,-586.00000E-012,6.15561E+000
1,1,162,503.44000E-003,1.16500E-009,6.17948E+000
1,1,163,506.57000E-003,291.00000E-012,6.22149E+000
1,1,164,509.69000E-003,-27.00000E-012,6.24532E+000
1,1,165,512.82000E-003,-624.00000E-012,6.28862E+000
1,1,166,515.94900E-003,-1.97400E-009,6.33062E+000
1,1,167,519.07000E-003,-392.00000E-012,6.37225E+000
1,1,168,522.19900E-003,492.00000E-012,6.39692E+000
1,1,169,525.33000E-003,-16.00000E-012,6.44040E+000
1,1,170,528.46000E-003,789.00000E-012,6.50138E+000
1,1,171,531.58000E-003,-20.00000E-012,6.52529E+000
1,1,172,534.70900E-003,-1.93900E-009,6.57032E+000
1,1,173,537.84000E-003,-416.00000E-012,6.61212E+000
1,1,174,540.96000E-003,-774.00000E-012,6.63734E+000
1,1,175,544.09000E-003,-543.00000E-012,6.68037E+000
1,1,176,547.22000E-003,-1.15600E-009,6.72204E+000
1,1,177,550.33800E-003,37.00000E-012,6.74591E+000
1,1,178,553.47000E-003,-614.00000E-012,6.78920E+000
